x,x -   x		  x   x 1
0,0 - 101		 10 165 1
0,0 -  96		 10 170 1
0,0 -  91		 10 175 1
0,0 -  86		 10 180 1
0,0 -  81		 10 185 1
0,0 -  76		 10 190 1
0,0 -  71		 10 195 1
0,0 -  66		 10 200 1
0,0 -  61		 10 205 1
0,0 -  56		 10 210 1
0,0 -  51		 10 215 1
0,0 -  46		 10 220 1
0,0 -  41		 10 225 1
0,0 -  36		 10 230 1
0,0 -  31		 10 235 1
0,0 -  26		 10 240 1
0,0 -  21		 10 245 1
0,0 -  16		 10 250 1
0,0 -  11		 10 255 1
0,1 -  20		 20   0 1
0,1 -  15		 20   5 1
0,1 -  10		 20  10 1
0,1 -   5		 20  15 1
0,1 -   0		 20  20 1
0,0 - 251		 20  25 1
0,0 - 246		 20  30 1
0,0 - 241		 20  35 1
0,0 - 236		 20  40 1
0,0 - 231		 20  45 1
0,0 - 226		 20  50 1
0,0 - 221		 20  55 1
0,0 - 216		 20  60 1
0,0 - 211		 20  65 1
0,0 - 206		 20  70 1
0,0 - 201		 20  75 1
0,0 - 196		 20  80 1
0,0 - 191		 20  85 1
0,0 - 186		 20  90 1
0,0 - 181		 20  95 1
0,0 - 176		 20 100 1
0,0 - 171		 20 105 1
0,0 - 166		 20 110 1
0,0 - 161		 20 115 1
0,0 - 156		 20 120 1
0,0 - 151		 20 125 1
1,0 - 146		 20 130 1
1,0 - 141		 20 135 1
1,0 - 136		 20 140 1
1,0 - 131		 20 145 1
0,0 - 126		 20 150 1
0,0 - 121		 20 155 1
0,0 - 116		 20 160 1
0,0 - 111		 20 165 1
0,0 - 106		 20 170 1
0,0 - 101		 20 175 1
0,0 -  96		 20 180 1
0,0 -  91		 20 185 1
0,0 -  86		 20 190 1
0,0 -  81		 20 195 1
0,0 -  76		 20 200 1
0,0 -  71		 20 205 1
0,0 -  66		 20 210 1
0,0 -  61		 20 215 1
0,0 -  56		 20 220 1
0,0 -  51		 20 225 1
0,0 -  46		 20 230 1
0,0 -  41		 20 235 1
0,0 -  36		 20 240 1
0,0 -  31		 20 245 1
0,0 -  26		 20 250 1
0,0 -  21		 20 255 1
0,1 -  30		 30   0 1
0,1 -  25		 30   5 1
0,1 -  20		 30  10 1
0,1 -  15		 30  15 1
0,1 -  10		 30  20 1
0,1 -   5		 30  25 1
0,1 -   0		 30  30 1
0,0 - 251		 30  35 1
0,0 - 246		 30  40 1
0,0 - 241		 30  45 1
0,0 - 236		 30  50 1
0,0 - 231		 30  55 1
0,0 - 226		 30  60 1
0,0 - 221		 30  65 1
0,0 - 216		 30  70 1
0,0 - 211		 30  75 1
0,0 - 206		 30  80 1
0,0 - 201		 30  85 1
0,0 - 196		 30  90 1
0,0 - 191		 30  95 1
0,0 - 186		 30 100 1
0,0 - 181		 30 105 1
0,0 - 176		 30 110 1
0,0 - 171		 30 115 1
0,0 - 166		 30 120 1
0,0 - 161		 30 125 1
1,0 - 156		 30 130 1
1,0 - 151		 30 135 1
1,0 - 146		 30 140 1
1,0 - 141		 30 145 1
1,0 - 136		 30 150 1
1,0 - 131		 30 155 1
0,0 - 126		 30 160 1
0,0 - 121		 30 165 1
0,0 - 116		 30 170 1
0,0 - 111		 30 175 1
0,0 - 106		 30 180 1
0,0 - 101		 30 185 1
0,0 -  96		 30 190 1
0,0 -  91		 30 195 1
0,0 -  86		 30 200 1
0,0 -  81		 30 205 1
0,0 -  76		 30 210 1
0,0 -  71		 30 215 1
0,0 -  66		 30 220 1
0,0 -  61		 30 225 1
0,0 -  56		 30 230 1
0,0 -  51		 30 235 1
0,0 -  46		 30 240 1
0,0 -  41		 30 245 1
0,0 -  36		 30 250 1
0,0 -  31		 30 255 1
0,1 -  40		 40   0 1
0,1 -  35		 40   5 1
0,1 -  30		 40  10 1
0,1 -  25		 40  15 1
0,1 -  20		 40  20 1
0,1 -  15		 40  25 1
0,1 -  10		 40  30 1
0,1 -   5		 40  35 1
0,1 -   0		 40  40 1
0,0 - 251		 40  45 1
0,0 - 246		 40  50 1
0,0 - 241		 40  55 1
0,0 - 236		 40  60 1
0,0 - 231		 40  65 1
0,0 - 226		 40  70 1
0,0 - 221		 40  75 1
0,0 - 216		 40  80 1
0,0 - 211		 40  85 1
0,0 - 206		 40  90 1
0,0 - 201		 40  95 1
0,0 - 196		 40 100 1
0,0 - 191		 40 105 1
0,0 - 186		 40 110 1
0,0 - 181		 40 115 1
0,0 - 176		 40 120 1
0,0 - 171		 40 125 1
1,0 - 166		 40 130 1
1,0 - 161		 40 135 1
1,0 - 156		 40 140 1
1,0 - 151		 40 145 1
1,0 - 146		 40 150 1
1,0 - 141		 40 155 1
1,0 - 136		 40 160 1
1,0 - 131		 40 165 1
0,0 - 126		 40 170 1
0,0 - 121		 40 175 1
0,0 - 116		 40 180 1
0,0 - 111		 40 185 1
0,0 - 106		 40 190 1
0,0 - 101		 40 195 1
0,0 -  96		 40 200 1
0,0 -  91		 40 205 1
0,0 -  86		 40 210 1
0,0 -  81		 40 215 1
0,0 -  76		 40 220 1
0,0 -  71		 40 225 1
0,0 -  66		 40 230 1
0,0 -  61		 40 235 1
0,0 -  56		 40 240 1
0,0 -  51		 40 245 1
0,0 -  46		 40 250 1
0,0 -  41		 40 255 1
0,1 -  50		 50   0 1
0,1 -  45		 50   5 1
0,1 -  40		 50  10 1
0,1 -  35		 50  15 1
0,1 -  30		 50  20 1
0,1 -  25		 50  25 1
0,1 -  20		 50  30 1
0,1 -  15		 50  35 1
0,1 -  10		 50  40 1
0,1 -   5		 50  45 1
0,1 -   0		 50  50 1
0,0 - 251		 50  55 1
0,0 - 246		 50  60 1
0,0 - 241		 50  65 1
0,0 - 236		 50  70 1
0,0 - 231		 50  75 1
0,0 - 226		 50  80 1
0,0 - 221		 50  85 1
0,0 - 216		 50  90 1
0,0 - 211		 50  95 1
0,0 - 206		 50 100 1
0,0 - 201		 50 105 1
0,0 - 196		 50 110 1
0,0 - 191		 50 115 1
0,0 - 186		 50 120 1
0,0 - 181		 50 125 1
1,0 - 176		 50 130 1
1,0 - 171		 50 135 1
1,0 - 166		 50 140 1
1,0 - 161		 50 145 1
1,0 - 156		 50 150 1
1,0 - 151		 50 155 1
1,0 - 146		 50 160 1
1,0 - 141		 50 165 1
1,0 - 136		 50 170 1
1,0 - 131		 50 175 1
0,0 - 126		 50 180 1
0,0 - 121		 50 185 1
0,0 - 116		 50 190 1
0,0 - 111		 50 195 1
0,0 - 106		 50 200 1
0,0 - 101		 50 205 1
0,0 -  96		 50 210 1
0,0 -  91		 50 215 1
0,0 -  86		 50 220 1
0,0 -  81		 50 225 1
0,0 -  76		 50 230 1
0,0 -  71		 50 235 1
0,0 -  66		 50 240 1
0,0 -  61		 50 245 1
0,0 -  56		 50 250 1
0,0 -  51		 50 255 1
0,1 -  60		 60   0 1
0,1 -  55		 60   5 1
0,1 -  50		 60  10 1
0,1 -  45		 60  15 1
0,1 -  40		 60  20 1
0,1 -  35		 60  25 1
0,1 -  30		 60  30 1
0,1 -  25		 60  35 1
0,1 -  20		 60  40 1
0,1 -  15		 60  45 1
0,1 -  10		 60  50 1
0,1 -   5		 60  55 1
0,1 -   0		 60  60 1
0,0 - 251		 60  65 1
0,0 - 246		 60  70 1
0,0 - 241		 60  75 1
0,0 - 236		 60  80 1
0,0 - 231		 60  85 1
0,0 - 226		 60  90 1
0,0 - 221		 60  95 1
0,0 - 216		 60 100 1
0,0 - 211		 60 105 1
0,0 - 206		 60 110 1
0,0 - 201		 60 115 1
0,0 - 196		 60 120 1
0,0 - 191		 60 125 1
1,0 - 186		 60 130 1
1,0 - 181		 60 135 1
1,0 - 176		 60 140 1
1,0 - 171		 60 145 1
1,0 - 166		 60 150 1
1,0 - 161		 60 155 1
1,0 - 156		 60 160 1
1,0 - 151		 60 165 1
1,0 - 146		 60 170 1
1,0 - 141		 60 175 1
1,0 - 136		 60 180 1
1,0 - 131		 60 185 1
0,0 - 126		 60 190 1
0,0 - 121		 60 195 1
0,0 - 116		 60 200 1
0,0 - 111		 60 205 1
0,0 - 106		 60 210 1
0,0 - 101		 60 215 1
0,0 -  96		 60 220 1
0,0 -  91		 60 225 1
0,0 -  86		 60 230 1
0,0 -  81		 60 235 1
0,0 -  76		 60 240 1
0,0 -  71		 60 245 1
0,0 -  66		 60 250 1
0,0 -  61		 60 255 1
0,1 -  70		 70   0 1
0,1 -  65		 70   5 1
0,1 -  60		 70  10 1
0,1 -  55		 70  15 1
0,1 -  50		 70  20 1
0,1 -  45		 70  25 1
0,1 -  40		 70  30 1
0,1 -  35		 70  35 1
0,1 -  30		 70  40 1
0,1 -  25		 70  45 1
0,1 -  20		 70  50 1
0,1 -  15		 70  55 1
0,1 -  10		 70  60 1
0,1 -   5		 70  65 1
0,1 -   0		 70  70 1
0,0 - 251		 70  75 1
0,0 - 246		 70  80 1
0,0 - 241		 70  85 1
0,0 - 236		 70  90 1
0,0 - 231		 70  95 1
0,0 - 226		 70 100 1
0,0 - 221		 70 105 1
0,0 - 216		 70 110 1
0,0 - 211		 70 115 1
0,0 - 206		 70 120 1
0,0 - 201		 70 125 1
1,0 - 196		 70 130 1
1,0 - 191		 70 135 1
1,0 - 186		 70 140 1
1,0 - 181		 70 145 1
1,0 - 176		 70 150 1
1,0 - 171		 70 155 1
1,0 - 166		 70 160 1
1,0 - 161		 70 165 1
1,0 - 156		 70 170 1
1,0 - 151		 70 175 1
1,0 - 146		 70 180 1
1,0 - 141		 70 185 1
1,0 - 136		 70 190 1
1,0 - 131		 70 195 1
0,0 - 126		 70 200 1
0,0 - 121		 70 205 1
0,0 - 116		 70 210 1
0,0 - 111		 70 215 1
0,0 - 106		 70 220 1
0,0 - 101		 70 225 1
0,0 -  96		 70 230 1
0,0 -  91		 70 235 1
0,0 -  86		 70 240 1
0,0 -  81		 70 245 1
0,0 -  76		 70 250 1
0,0 -  71		 70 255 1
0,1 -  80		 80   0 1
0,1 -  75		 80   5 1
0,1 -  70		 80  10 1
0,1 -  65		 80  15 1
0,1 -  60		 80  20 1
0,1 -  55		 80  25 1
0,1 -  50		 80  30 1
0,1 -  45		 80  35 1
0,1 -  40		 80  40 1
0,1 -  35		 80  45 1
0,1 -  30		 80  50 1
0,1 -  25		 80  55 1
0,1 -  20		 80  60 1
0,1 -  15		 80  65 1
0,1 -  10		 80  70 1
0,1 -   5		 80  75 1
0,1 -   0		 80  80 1
0,0 - 251		 80  85 1
0,0 - 246		 80  90 1
0,0 - 241		 80  95 1
0,0 - 236		 80 100 1
0,0 - 231		 80 105 1
0,0 - 226		 80 110 1
0,0 - 221		 80 115 1
0,0 - 216		 80 120 1
0,0 - 211		 80 125 1
1,0 - 206		 80 130 1
1,0 - 201		 80 135 1
1,0 - 196		 80 140 1
1,0 - 191		 80 145 1
1,0 - 186		 80 150 1
1,0 - 181		 80 155 1
1,0 - 176		 80 160 1
1,0 - 171		 80 165 1
1,0 - 166		 80 170 1
1,0 - 161		 80 175 1
1,0 - 156		 80 180 1
1,0 - 151		 80 185 1
1,0 - 146		 80 190 1
1,0 - 141		 80 195 1
1,0 - 136		 80 200 1
1,0 - 131		 80 205 1
0,0 - 126		 80 210 1
0,0 - 121		 80 215 1
0,0 - 116		 80 220 1
0,0 - 111		 80 225 1
0,0 - 106		 80 230 1
0,0 - 101		 80 235 1
0,0 -  96		 80 240 1
0,0 -  91		 80 245 1
0,0 -  86		 80 250 1
0,0 -  81		 80 255 1
0,1 -  90		 90   0 1
0,1 -  85		 90   5 1
0,1 -  80		 90  10 1
0,1 -  75		 90  15 1
0,1 -  70		 90  20 1
0,1 -  65		 90  25 1
0,1 -  60		 90  30 1
0,1 -  55		 90  35 1
0,1 -  50		 90  40 1
0,1 -  45		 90  45 1
0,1 -  40		 90  50 1
0,1 -  35		 90  55 1
0,1 -  30		 90  60 1
0,1 -  25		 90  65 1
0,1 -  20		 90  70 1
0,1 -  15		 90  75 1
0,1 -  10		 90  80 1
0,1 -   5		 90  85 1
0,1 -   0		 90  90 1
0,0 - 251		 90  95 1
0,0 - 246		 90 100 1
0,0 - 241		 90 105 1
0,0 - 236		 90 110 1
0,0 - 231		 90 115 1
0,0 - 226		 90 120 1
0,0 - 221		 90 125 1
1,0 - 216		 90 130 1
1,0 - 211		 90 135 1
1,0 - 206		 90 140 1
1,0 - 201		 90 145 1
1,0 - 196		 90 150 1
1,0 - 191		 90 155 1
1,0 - 186		 90 160 1
1,0 - 181		 90 165 1
1,0 - 176		 90 170 1
1,0 - 171		 90 175 1
1,0 - 166		 90 180 1
1,0 - 161		 90 185 1
1,0 - 156		 90 190 1
1,0 - 151		 90 195 1
1,0 - 146		 90 200 1
1,0 - 141		 90 205 1
1,0 - 136		 90 210 1
1,0 - 131		 90 215 1
0,0 - 126		 90 220 1
0,0 - 121		 90 225 1
0,0 - 116		 90 230 1
0,0 - 111		 90 235 1
0,0 - 106		 90 240 1
0,0 - 101		 90 245 1
0,0 -  96		 90 250 1
0,0 -  91		 90 255 1
0,1 - 100		100   0 1
0,1 -  95		100   5 1
0,1 -  90		100  10 1
0,1 -  85		100  15 1
0,1 -  80		100  20 1
0,1 -  75		100  25 1
0,1 -  70		100  30 1
0,1 -  65		100  35 1
0,1 -  60		100  40 1
0,1 -  55		100  45 1
0,1 -  50		100  50 1
0,1 -  45		100  55 1
0,1 -  40		100  60 1
0,1 -  35		100  65 1
0,1 -  30		100  70 1
0,1 -  25		100  75 1
0,1 -  20		100  80 1
0,1 -  15		100  85 1
0,1 -  10		100  90 1
0,1 -   5		100  95 1
0,1 -   0		100 100 1
0,0 - 251		100 105 1
0,0 - 246		100 110 1
0,0 - 241		100 115 1
0,0 - 236		100 120 1
0,0 - 231		100 125 1
1,0 - 226		100 130 1
1,0 - 221		100 135 1
1,0 - 216		100 140 1
1,0 - 211		100 145 1
1,0 - 206		100 150 1
1,0 - 201		100 155 1
1,0 - 196		100 160 1
1,0 - 191		100 165 1
1,0 - 186		100 170 1
1,0 - 181		100 175 1
1,0 - 176		100 180 1
1,0 - 171		100 185 1
1,0 - 166		100 190 1
1,0 - 161		100 195 1
1,0 - 156		100 200 1
1,0 - 151		100 205 1
1,0 - 146		100 210 1
1,0 - 141		100 215 1
1,0 - 136		100 220 1
1,0 - 131		100 225 1
0,0 - 126		100 230 1
0,0 - 121		100 235 1
0,0 - 116		100 240 1
0,0 - 111		100 245 1
0,0 - 106		100 250 1
0,0 - 101		100 255 1
0,1 - 110		110   0 1
0,1 - 105		110   5 1
0,1 - 100		110  10 1
0,1 -  95		110  15 1
0,1 -  90		110  20 1
0,1 -  85		110  25 1
0,1 -  80		110  30 1
0,1 -  75		110  35 1
0,1 -  70		110  40 1
0,1 -  65		110  45 1
0,1 -  60		110  50 1
0,1 -  55		110  55 1
0,1 -  50		110  60 1
0,1 -  45		110  65 1
0,1 -  40		110  70 1
0,1 -  35		110  75 1
0,1 -  30		110  80 1
0,1 -  25		110  85 1
0,1 -  20		110  90 1
0,1 -  15		110  95 1
0,1 -  10		110 100 1
0,1 -   5		110 105 1
0,1 -   0		110 110 1
0,0 - 251		110 115 1
0,0 - 246		110 120 1
0,0 - 241		110 125 1
1,0 - 236		110 130 1
1,0 - 231		110 135 1
1,0 - 226		110 140 1
1,0 - 221		110 145 1
1,0 - 216		110 150 1
1,0 - 211		110 155 1
1,0 - 206		110 160 1
1,0 - 201		110 165 1
1,0 - 196		110 170 1
1,0 - 191		110 175 1
1,0 - 186		110 180 1
1,0 - 181		110 185 1
1,0 - 176		110 190 1
1,0 - 171		110 195 1
1,0 - 166		110 200 1
1,0 - 161		110 205 1
1,0 - 156		110 210 1
1,0 - 151		110 215 1
1,0 - 146		110 220 1
1,0 - 141		110 225 1
1,0 - 136		110 230 1
1,0 - 131		110 235 1
0,0 - 126		110 240 1
0,0 - 121		110 245 1
0,0 - 116		110 250 1
0,0 - 111		110 255 1
0,1 - 120		120   0 1
0,1 - 115		120   5 1
0,1 - 110		120  10 1
0,1 - 105		120  15 1
0,1 - 100		120  20 1
0,1 -  95		120  25 1
0,1 -  90		120  30 1
0,1 -  85		120  35 1
0,1 -  80		120  40 1
0,1 -  75		120  45 1
0,1 -  70		120  50 1
0,1 -  65		120  55 1
0,1 -  60		120  60 1
0,1 -  55		120  65 1
0,1 -  50		120  70 1
0,1 -  45		120  75 1
0,1 -  40		120  80 1
0,1 -  35		120  85 1
0,1 -  30		120  90 1
0,1 -  25		120  95 1
0,1 -  20		120 100 1
0,1 -  15		120 105 1
0,1 -  10		120 110 1
0,1 -   5		120 115 1
0,1 -   0		120 120 1
0,0 - 251		120 125 1
1,0 - 246		120 130 1
1,0 - 241		120 135 1
1,0 - 236		120 140 1
1,0 - 231		120 145 1
1,0 - 226		120 150 1
1,0 - 221		120 155 1
1,0 - 216		120 160 1
1,0 - 211		120 165 1
1,0 - 206		120 170 1
1,0 - 201		120 175 1
1,0 - 196		120 180 1
1,0 - 191		120 185 1
1,0 - 186		120 190 1
1,0 - 181		120 195 1
1,0 - 176		120 200 1
1,0 - 171		120 205 1
1,0 - 166		120 210 1
1,0 - 161		120 215 1
1,0 - 156		120 220 1
1,0 - 151		120 225 1
1,0 - 146		120 230 1
1,0 - 141		120 235 1
1,0 - 136		120 240 1
1,0 - 131		120 245 1
0,0 - 126		120 250 1
0,0 - 121		120 255 1
0,1 - 130		130   0 1
1,1 - 125		130   5 1
1,1 - 120		130  10 1
1,1 - 115		130  15 1
1,1 - 110		130  20 1
1,1 - 105		130  25 1
1,1 - 100		130  30 1
1,1 -  95		130  35 1
1,1 -  90		130  40 1
1,1 -  85		130  45 1
1,1 -  80		130  50 1
1,1 -  75		130  55 1
1,1 -  70		130  60 1
1,1 -  65		130  65 1
1,1 -  60		130  70 1
1,1 -  55		130  75 1
1,1 -  50		130  80 1
1,1 -  45		130  85 1
1,1 -  40		130  90 1
1,1 -  35		130  95 1
1,1 -  30		130 100 1
1,1 -  25		130 105 1
1,1 -  20		130 110 1
1,1 -  15		130 115 1
1,1 -  10		130 120 1
1,1 -   5		130 125 1
0,1 -   0		130 130 1
0,0 - 251		130 135 1
0,0 - 246		130 140 1
0,0 - 241		130 145 1
0,0 - 236		130 150 1
0,0 - 231		130 155 1
0,0 - 226		130 160 1
0,0 - 221		130 165 1
0,0 - 216		130 170 1
0,0 - 211		130 175 1
0,0 - 206		130 180 1
0,0 - 201		130 185 1
0,0 - 196		130 190 1
0,0 - 191		130 195 1
0,0 - 186		130 200 1
0,0 - 181		130 205 1
0,0 - 176		130 210 1
0,0 - 171		130 215 1
0,0 - 166		130 220 1
0,0 - 161		130 225 1
0,0 - 156		130 230 1
0,0 - 151		130 235 1
0,0 - 146		130 240 1
0,0 - 141		130 245 1
0,0 - 136		130 250 1
0,0 - 131		130 255 1
0,1 - 140		140   0 1
0,1 - 135		140   5 1
0,1 - 130		140  10 1
1,1 - 125		140  15 1
1,1 - 120		140  20 1
1,1 - 115		140  25 1
1,1 - 110		140  30 1
1,1 - 105		140  35 1
1,1 - 100		140  40 1
1,1 -  95		140  45 1
1,1 -  90		140  50 1
1,1 -  85		140  55 1
1,1 -  80		140  60 1
1,1 -  75		140  65 1
1,1 -  70		140  70 1
1,1 -  65		140  75 1
1,1 -  60		140  80 1
1,1 -  55		140  85 1
1,1 -  50		140  90 1
1,1 -  45		140  95 1
1,1 -  40		140 100 1
1,1 -  35		140 105 1
1,1 -  30		140 110 1
1,1 -  25		140 115 1
1,1 -  20		140 120 1
1,1 -  15		140 125 1
0,1 -  10		140 130 1
0,1 -   5		140 135 1
0,1 -   0		140 140 1
0,0 - 251		140 145 1
0,0 - 246		140 150 1
0,0 - 241		140 155 1
0,0 - 236		140 160 1
0,0 - 231		140 165 1
0,0 - 226		140 170 1
0,0 - 221		140 175 1
0,0 - 216		140 180 1
0,0 - 211		140 185 1
0,0 - 206		140 190 1
0,0 - 201		140 195 1
0,0 - 196		140 200 1
0,0 - 191		140 205 1
0,0 - 186		140 210 1
0,0 - 181		140 215 1
0,0 - 176		140 220 1
0,0 - 171		140 225 1
0,0 - 166		140 230 1
0,0 - 161		140 235 1
0,0 - 156		140 240 1
0,0 - 151		140 245 1
0,0 - 146		140 250 1
0,0 - 141		140 255 1
0,1 - 150		150   0 1
0,1 - 145		150   5 1
0,1 - 140		150  10 1
0,1 - 135		150  15 1
0,1 - 130		150  20 1
1,1 - 125		150  25 1
1,1 - 120		150  30 1
1,1 - 115		150  35 1
1,1 - 110		150  40 1
1,1 - 105		150  45 1
1,1 - 100		150  50 1
1,1 -  95		150  55 1
1,1 -  90		150  60 1
1,1 -  85		150  65 1
1,1 -  80		150  70 1
1,1 -  75		150  75 1
1,1 -  70		150  80 1
1,1 -  65		150  85 1
1,1 -  60		150  90 1
1,1 -  55		150  95 1
1,1 -  50		150 100 1
1,1 -  45		150 105 1
1,1 -  40		150 110 1
1,1 -  35		150 115 1
1,1 -  30		150 120 1
1,1 -  25		150 125 1
0,1 -  20		150 130 1
0,1 -  15		150 135 1
0,1 -  10		150 140 1
0,1 -   5		150 145 1
0,1 -   0		150 150 1
0,0 - 251		150 155 1
0,0 - 246		150 160 1
0,0 - 241		150 165 1
0,0 - 236		150 170 1
0,0 - 231		150 175 1
0,0 - 226		150 180 1
0,0 - 221		150 185 1
0,0 - 216		150 190 1
0,0 - 211		150 195 1
0,0 - 206		150 200 1
0,0 - 201		150 205 1
0,0 - 196		150 210 1
0,0 - 191		150 215 1
0,0 - 186		150 220 1
0,0 - 181		150 225 1
0,0 - 176		150 230 1
0,0 - 171		150 235 1
0,0 - 166		150 240 1
0,0 - 161		150 245 1
0,0 - 156		150 250 1
0,0 - 151		150 255 1
0,1 - 160		160   0 1
0,1 - 155		160   5 1
0,1 - 150		160  10 1
0,1 - 145		160  15 1
0,1 - 140		160  20 1
0,1 - 135		160  25 1
0,1 - 130		160  30 1
1,1 - 125		160  35 1
1,1 - 120		160  40 1
1,1 - 115		160  45 1
1,1 - 110		160  50 1
1,1 - 105		160  55 1
1,1 - 100		160  60 1
1,1 -  95		160  65 1
1,1 -  90		160  70 1
1,1 -  85		160  75 1
1,1 -  80		160  80 1
1,1 -  75		160  85 1
1,1 -  70		160  90 1
1,1 -  65		160  95 1
1,1 -  60		160 100 1
1,1 -  55		160 105 1
1,1 -  50		160 110 1
1,1 -  45		160 115 1
1,1 -  40		160 120 1
1,1 -  35		160 125 1
0,1 -  30		160 130 1
0,1 -  25		160 135 1
0,1 -  20		160 140 1
0,1 -  15		160 145 1
0,1 -  10		160 150 1
0,1 -   5		160 155 1
0,1 -   0		160 160 1
0,0 - 251		160 165 1
0,0 - 246		160 170 1
0,0 - 241		160 175 1
0,0 - 236		160 180 1
0,0 - 231		160 185 1
0,0 - 226		160 190 1
0,0 - 221		160 195 1
0,0 - 216		160 200 1
0,0 - 211		160 205 1
0,0 - 206		160 210 1
0,0 - 201		160 215 1
0,0 - 196		160 220 1
0,0 - 191		160 225 1
0,0 - 186		160 230 1
0,0 - 181		160 235 1
0,0 - 176		160 240 1
0,0 - 171		160 245 1
0,0 - 166		160 250 1
0,0 - 161		160 255 1
0,1 - 170		170   0 1
0,1 - 165		170   5 1
0,1 - 160		170  10 1
0,1 - 155		170  15 1
0,1 - 150		170  20 1
0,1 - 145		170  25 1
0,1 - 140		170  30 1
0,1 - 135		170  35 1
0,1 - 130		170  40 1
1,1 - 125		170  45 1
1,1 - 120		170  50 1
1,1 - 115		170  55 1
1,1 - 110		170  60 1
1,1 - 105		170  65 1
1,1 - 100		170  70 1
1,1 -  95		170  75 1
1,1 -  90		170  80 1
1,1 -  85		170  85 1
1,1 -  80		170  90 1
1,1 -  75		170  95 1
1,1 -  70		170 100 1
1,1 -  65		170 105 1
1,1 -  60		170 110 1
1,1 -  55		170 115 1
1,1 -  50		170 120 1
1,1 -  45		170 125 1
0,1 -  40		170 130 1
0,1 -  35		170 135 1
0,1 -  30		170 140 1
0,1 -  25		170 145 1
0,1 -  20		170 150 1
0,1 -  15		170 155 1
0,1 -  10		170 160 1
0,1 -   5		170 165 1
0,1 -   0		170 170 1
0,0 - 251		170 175 1
0,0 - 246		170 180 1
0,0 - 241		170 185 1
0,0 - 236		170 190 1
0,0 - 231		170 195 1
0,0 - 226		170 200 1
0,0 - 221		170 205 1
0,0 - 216		170 210 1
0,0 - 211		170 215 1
0,0 - 206		170 220 1
0,0 - 201		170 225 1
0,0 - 196		170 230 1
0,0 - 191		170 235 1
0,0 - 186		170 240 1
0,0 - 181		170 245 1
0,0 - 176		170 250 1
0,0 - 171		170 255 1
0,1 - 180		180   0 1
0,1 - 175		180   5 1
0,1 - 170		180  10 1
0,1 - 165		180  15 1
0,1 - 160		180  20 1
0,1 - 155		180  25 1
0,1 - 150		180  30 1
0,1 - 145		180  35 1
0,1 - 140		180  40 1
0,1 - 135		180  45 1
0,1 - 130		180  50 1
1,1 - 125		180  55 1
1,1 - 120		180  60 1
1,1 - 115		180  65 1
1,1 - 110		180  70 1
1,1 - 105		180  75 1
1,1 - 100		180  80 1
1,1 -  95		180  85 1
1,1 -  90		180  90 1
1,1 -  85		180  95 1
1,1 -  80		180 100 1
1,1 -  75		180 105 1
1,1 -  70		180 110 1
1,1 -  65		180 115 1
